country_code,city_code,city_name,time_zone
US,FAM,Farmington,America/Chicago
US,BKW,Beckley,America/New_York
US,CLM,Port Angeles,America/Los_Angeles
US,WLB,Labouchere Bay,America/Sitka
US,KNW,New Stuyahok,America/Anchorage
US,HYG,Hydaburg,America/Sitka
US,ORQ,Norwalk,America/New_York
US,NUP,Nunapitchuk,America/Anchorage
US,DRI,De Ridder,America/Chicago
US,KYL,Key Largo,America/New_York
US,HST,Homestead,America/New_York
US,AFN,Jaffrey,America/New_York
US,MPE,Madison,America/New_York
US,TRL,Terrell,America/Chicago
US,ELY,Ely,America/Los_Angeles
US,WSG,Washington,America/New_York
US,LVS,Las Vegas,America/Denver
US,SXQ,Soldotna,America/Anchorage
US,PSK,Dublin,America/New_York
US,TPL,Temple,America/Chicago
US,YUM,Yuma,America/Phoenix
US,TDO,Toledo,America/Los_Angeles
US,RXE,Rexburg,America/Boise
US,XSM,St Marys,America/New_York
US,NYC,New York,America/New_York
US,BWM,Bowman,America/Boise
US,SMU,Sheep Mountain,America/Anchorage
US,MLF,Milford,America/Denver
US,ISM,Kissimmee,America/New_York
US,SGH,Springfield,America/New_York
US,SNL,Shawnee,America/Chicago
US,HMS,Homeshore,America/Juneau
US,SKW,Skwentna,America/Anchorage
US,MUI,Fort Indiantown,America/New_York
US,UGN,Waukegan,America/Chicago
US,VDI,Vidalia,America/New_York
US,EMM,Kemerer,America/Denver
US,LBE,Latrobe,America/New_York
US,OOK,Toksook Bay,America/Anchorage
US,AHC,Herlong,America/Los_Angeles
US,CEU,Clemson,America/New_York
US,QHO,Houston,America/Chicago
US,CIV,Chomley,America/Sitka
US,PPF,Parsons,America/Chicago
US,VHN,Van Horn,America/Chicago
US,MLY,Manley Hot Springs,America/Anchorage
US,CDK,Cedar Key,America/New_York
US,CKN,Crookston,America/Chicago
US,KCL,Chignik,America/Anchorage
US,FAY,Fayetteville,America/New_York
US,BUR,Burbank,America/Los_Angeles
US,DAG,Daggett,America/Los_Angeles
US,FID,Fishers Island,America/New_York
US,RMP,Rampart,America/Anchorage
US,AVO,Avon Park,America/New_York
US,SUO,Sun River,America/Los_Angeles
US,APC,Napa,America/Los_Angeles
US,OLH,Old Harbor,America/Anchorage
US,PWR,Port Walter,America/Anchorage
US,BYG,Buffalo,America/Denver
US,HOB,Hobbs,America/Denver
US,SFM,Sanford,America/New_York
US,DUJ,Du Bois,America/New_York
US,AQY,Alyeska,America/Anchorage
US,UVA,Uvalde,America/Chicago
US,WSM,Wiseman,America/Anchorage
US,WAH,Wahpeton,America/Chicago
US,SUD,Stroud,America/Chicago
US,MEM,Memphis,America/Chicago
US,COT,Cotulla,America/Chicago
US,PVW,Plainview,America/Chicago
US,DNN,Dalton,America/New_York
US,GDH,Golden Horn Lodge,America/Anchorage
US,ACV,Arcata,America/Los_Angeles
US,FNR,Funter Bay,America/Juneau
US,HUS,Hughes,America/Anchorage
US,DLH,Duluth,America/Chicago
US,ZTV,Sturtevant,America/Chicago
US,GFL,Glens Falls,America/New_York
US,SYA,Shemya,America/Adak
US,LCI,Laconia,America/New_York
US,CSG,Columbus,America/New_York
US,KCC,Coffman Cove,America/Sitka
US,MNT,Minto,America/Anchorage
US,BCC,Bear Creek,America/Anchorage
US,BFF,Scottsbluff,America/Denver
US,FAI,Fairbanks,America/Anchorage
US,ADT,Ada,America/Chicago
US,HYR,Hayward,America/Chicago
US,GDW,Gladwin,America/Detroit
US,AHM,Ashland,America/Los_Angeles
US,PEC,Pelican,America/Anchorage
US,KPD,King Of Prussia,America/New_York
US,CHU,Chuathbaluk,America/Anchorage
US,BVO,Bartlesville,America/Chicago
US,JDN,Jordan,America/Denver
US,SFZ,Pawtucket,America/New_York
US,FKN,Franklin,America/New_York
US,MLI,Moline,America/Chicago
US,DAN,Danville,America/New_York
US,CEW,Crestview,America/Chicago
US,MEI,Meridian,America/Chicago
US,DGB,Danger Bay,America/Anchorage
US,SAC,Sacramento,America/Los_Angeles
US,LIJ,Long Island,America/Sitka
US,SSW,Stuart Island,America/Los_Angeles
US,HLC,Hill City,America/Chicago
US,ONM,Socorro,America/Denver
US,JEM,Emeryville,America/Los_Angeles
US,GAI,Gaithersburg,America/New_York
US,NEL,Lakehurst,America/New_York
US,KZH,Kizhuyak,America/Anchorage
US,RST,Rochester,America/Chicago
US,HGR,Hagerstown,America/New_York
US,FME,Fort Meade,America/New_York
US,OME,Nome,America/Nome
US,ISO,Kinston,America/New_York
US,DUF,Corolla,America/New_York
